APTB_ID,APTB_TABLE_PREFIX,APTB_TABLE_ID,LICENCE_NO,APTB_DESCRIPTION,APTB_CATEGORY,APTB_TEXT,APTB_ITEM
643765499,LI,635149,104778/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765500,LI,635152,104787/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765501,LI,635152,104787/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765502,LI,635156,104830/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765517,LI,635183,106206/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765518,LI,635183,106206/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765521,LI,635193,106992/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643765972,LI,635265,113069/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765973,LI,635265,113069/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765974,LI,635265,113069/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765984,LI,635284,113799/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765985,LI,635284,113799/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765986,LI,635287,113800/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643765987,LI,635287,113800/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643765993,LI,635302,115163/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643765994,LI,635302,115163/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643766055,LI,643016,1440390/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643766056,LI,643016,1440390/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643766514,LI,638911,440529/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643766515,LI,638911,440529/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767115,LI,641170,1190066/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767339,LI,635545,134886/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643767340,LI,635545,134886/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767343,LI,635554,136304/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643767344,LI,635554,136304/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643767345,LI,635554,136304/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767746,LI,635656,151728/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643767755,LI,635687,153510/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643767756,LI,635687,153510/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767828,LI,638053,362235/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643767829,LI,638053,362235/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
643767830,LI,638053,362235/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
643767831,LI,638053,362235/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
643767832,LI,638053,362235/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
643767833,LI,638053,362235/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643767834,LI,638056,362236/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643767835,LI,638056,362236/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
643767836,LI,638056,362236/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
643767837,LI,638056,362236/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
643767838,LI,638056,362236/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
643767839,LI,638056,362236/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643768072,LI,635695,153511/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643768073,LI,635695,153511/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643768118,LI,639337,479658/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643768119,LI,639337,479658/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643768545,LI,635829,169629/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643768547,LI,635832,169633/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643768548,LI,635832,169633/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643768662,LI,847483,9846309/1,Conditions applicable to ambulatory system stations,ADVNOTE,Conditions applicable to the operation of Ambulatory System station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Land Mobile Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANLG
643768820,LI,634667,94885/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643768821,LI,634667,94885/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643768838,LI,634675,95013/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
643768839,LI,634675,95013/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
643768860,LI,635912,179312/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643768861,LI,635912,179312/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
643768862,LI,635912,179312/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
643768863,LI,635912,179312/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
643768864,LI,635912,179312/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
643768865,LI,635912,179312/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643769749,LI,638430,411325/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643769750,LI,638430,411325/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643770070,LI,643141,1443796/1,Cavity filter - transceiver/antenna,SPCOND,An efficient cavity filter must be fitted between the transceiver and the antenna.,06
643770071,LI,643141,1443796/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643770072,LI,643141,1443796/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643770451,LI,643203,1445008/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643770452,LI,643203,1445008/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643770453,LI,643203,1445008/1,,ADVNOTE,"Station Location:  AVCGA Headquarters, Luff St, Hull Heads, Qld.",
643770478,LI,640090,518115/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
643770479,LI,640090,518115/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
643770480,LI,640090,518115/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
643770481,LI,640090,518115/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
643770482,LI,640090,518115/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
643770483,LI,640090,518115/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643770606,LI,636905,1151090/1,"Responsibility of licensee, regarding transmitter interference. Replaced by KC in March 1997.",SPCOND,"The licensee is required to place advertisments in newspapers circulating within the coverage area of the transmitter, within 7 days of the commencement of operations, or changes to operation conditions of the transmitter, asking members of the public to contact the licensee if they believe that operation of the transmitter is causing interference to another service.",NA
643770607,LI,636905,1151090/1,Received signal - residential area,SPCOND,The received signal in any area zoned residential (as determined by the Australian Bureau of Statistics data for towns and cities) shall not exceed 48 DBUV/M measured at a height of 10 metres above ground at any location more than 2 km from the antenna.,NB
643770608,LI,636905,1151090/1,Maximum antenna height,SPCOND,The effective antenna height above average terrain shall not exceed 10 metres.,ND
643770609,LI,636905,1151090/1,Low power open narrowcasting,SPCOND,This licence can only be used to provide a low-power open narrowcasting service.,NK
643770610,LI,636905,1151090/1,Licence issued for the drop through period only,SPCOND,This licence is issued or renewed only for the period for which the frequency has been made available under section 34 of the Broadcasting Services Act 1992.,NR
643770611,LI,636905,1151090/1,Interference management,SPCOND,"The licensee must ensure that no harmful interference shall be caused to the operation of any radiocommunication station or service. If the operation of the transmitter is causing interference to other services, the licensee is required, at the licensee's own expense, to adjust, or fit devices to, receivers in order to eliminate or minimise that interference.",NT
643770612,LI,636905,1151090/1,Conditions applicable to narrowcasting service stations.,ADVNOTE,Conditions applicable to the operation of Narrowcasting Service station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Broadcasting Licence) Determination.  Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANKC
643771171,LI,650555,1983304/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
643771227,LI,844900,433771/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
643771593,LI,647879,1954974/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
