CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
1445006,Village Taxi Cabs Pty Ltd,Atherton Taxis,092776273,61092776273,PO Box 197,ATHERTON,QLD,4883,7,5,1
1448525,Collinsville Coal Company Pty Ltd,Electrical Engineering Manager,009948172,80009948172,PO Box 60,COLLINSVILLE,QLD,4804,15,5,1
1464852,Brendan O'Rourke,Brendan O'Rourke,,86162445592,PO Box 3099 Red Hill Homemakers Centre,Red Hill,QLD,4701,15,7,1
1480691,MACKAY SUGAR LIMITED,Electrical Superintendent,057463671,12057463671,PO Box 5720,MACKAY MAIL CENTRE,QLD,4741,3,5,1
8129031,NBN CO LIMITED,NBN CO LIMITED,136533741,86136533741,Level 13 100 Mount Street,NORTH SYDNEY,NSW,2060,15,5,1
8133088,SEALINK QUEENSLAND PTY LTD,SEALINK QUEENSLAND PTY LTD,148811170,57148811170,PO Box 1194,TOWNSVILLE,QLD,4810,14,5,1
20000408,CENTRAL SEQ DISTRIBUTOR-RETAILER AUTHORITY,Queensland Urban Utilities,,86673835011,GPO Box 2765,BRISBANE,QLD,4001,10,4,1
20000768,AUSTRALIAN MARITIME SAFETY AUTHORITY,Australian Maritime Safety Authority,,65377938320,"GPO Box 2181 Attn: Response Division Administration, Client ID 20000768",Canberra,ACT,2601,,2,1
20001190,WESTSIDE CORPORATION LIMITED,WESTSIDE CORPORATION LIMITED,117145516,74117145516,"Level 8, 300 Queen St",BRISBANE,QLD,4000,,5,1
20001770,Northern SEQ Distributor - Retailer Authority,Unitywater,,89791717472,50 First Avenue,Maroochydore,QLD,4558,,4,1
20002360,VIASAT AUSTRALIA PTY LIMITED,VIASAT AUSTRALIA PTY LIMITED,092010421,94092010421,Level 20 201 Miller Street,NORTH SYDNEY,NSW,2060,15,5,1
20002412,Whitsunday Air Services Pty Ltd,Hamilton Island Air,143891258,49143891258,PO Box 3,HAMILTON ISLAND,QLD,4803,7,5,1
20002714,University of Sydney,School of Physics,,15211513464,School of Physics,University of Sydney,NSW,2006,,6,1
20003089,FNQ Sugar Services Pty Ltd,FNQ Sugar Services Pty Ltd,145208813,81145208813,PO Box 21,GORDONVALE,QLD,4865,1,5,1
20003229,John Kummerow,Girraween Farming Co,,,405 Kummerows Road,BOWENVILLE,QLD,4404,,7,1
20003242,Tony Vanstarrex,Tri-Sound Australia,,40881648053,6 Cornelius Place,NOWRA,NSW,2541,,7,1
20003601,North Queensland Bulk Ports Corporation Limited,North Queensland Bulk Ports Corporation Limited,136880218,36136880218,PO Box 3340,MACKAY NORTH,QLD,4740,15,5,1
20003850,MORETON BAY REGIONAL COUNCIL,MORETON BAY REGIONAL COUNCIL,,92967232136,PO Box 159,CABOOLTURE,QLD,4510,15,4,1
20004308,MID NORTH COAST LOCAL HEALTH DISTRICT,Base Hospital Physical Resources,,57946356658,1 Wrights Road,PORT MACQUARIE,NSW,2444,12,3,1
20004546,T & M LYNCH PTY LIMITED,Eziway Concrete,101828264,39101828264,27 Quinns Lane,SOUTH NOWRA,NSW,2541,5,5,1
20004872,DEPT OF HEALTH QLD,eHealth Qld,,66329169412,GPO Box 125 RBWH,BRISBANE,QLD,4001,,3,1
20005946,WILMAR SUGAR PTY LTD,Proserpine,081051792,44081051792,PO Box 101,Proserpine,QLD,4800,15,5,1
20005985,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (RFS),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,3
20007010,WHITSUNDAY BAREBOAT OPERATORS ASSOCIATION,WHITSUNDAY BAREBOAT OPERATORS ASSOCIATION,,25774392926,PO Box 255,CANNONVALE,QLD,4802,,6,1
20007490,BUNDABERG NARROWCASTERS PTY. LTD.,BUNDABERG NARROWCASTERS PTY. LTD.,093077279,79093077279,Locked bag 2110,North Ryde,NSW,2113,,5,1
20007562,Optus Mobile Pty Limited,15 GHz and 38 GHz Licences,054365696,65054365696,PO Box 888,NORTH RYDE,NSW,1670,8,5,1
20007569,Optus Mobile Pty Limited,11 GHz and 18 GHz Licences,054365696,65054365696,PO Box 888,NORTH RYDE,NSW,1670,8,5,1
20007586,Optus Mobile Pty Limited,8 GHz Licences except NSW,054365696,65054365696,PO Box 888,NORTH RYDE,NSW,1670,,5,1
20008300,QUBE LOGISTICS (QLD) PTY LTD,QUBE LOGISTICS (QLD) PTY LTD,009677383,21009677383,PO Box 1088,WYNNUM,QLD,4178,,5,1
20008374,DEPARTMENT OF JUSTICE AND COMMUNITY SAFETY,Visionstream Australia,,32790228959,167-169 Cremorne Street,CREMORNE,VIC,3121,,3,1
20008471,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (FRNSW),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,1
20008537,WILMAR SUGAR PTY LTD,Herbert Region,081051792,44081051792,PMB 1 Attn:  L Castellaro,INGHAM,QLD,4850,,5,1
20008916,REMONDIS AUSTRALIA PTY LTD,REMONDIS PTY LTD,002429781,95002429781,PO Box 885,MASCOT,NSW,1460,,5,1
20009033,Mount's Machinery,Mount's Machinery,,80120227166,PO Box 290,ROMA,QLD,4455,,6,1
20009217,TPG INTERNET PTY LTD,TPG INTERNET,068383737,15068383737,PO Box 1113,NORTH SYDNEY,NSW,2060,,5,1
20010642,Jeacocke Electronic Services Pty Ltd,Jones Communications,127694213,84127694213,PO Box 253,Gladstone,QLD,4680,,5,1
20010808,Logan City Council,Logan City Council,,21627796435,PO Box 3226,LOGAN CITY DC,QLD,4114,,4,1
20011154,DEPARTMENT OF JUSTICE AND COMMUNITY SAFETY,RMR Regional Mobile Radio,,32790228959,C/- Level 2 Bld M5 30 Henderson Rd,CLAYTON,VIC,3168,,3,1
20011310,LION MINING LIMITED,LION MINING LIMITED,000697183,92000697183,"Level 2, 520 Wickham Street",FORTITUDE VALLEY,QLD,4006,,5,1
20011471,ALBAYAN INCORPORATED,ALBAYAN INCORPORATED,,92162511802,172 Burwood Road,BELMORE,NSW,2192,,6,1
20011641,Veolia Water Australia Pty Ltd,Veolia Water,061161279,99061161279,PO Box 42,CHINCHILLA,QLD,4413,,5,1
20011915,BUNDANON TRUST,BUNDANON TRUST,058829217,72058829217,PO Box 3343,NOWRA NORTH,NSW,2541,,5,1
20011941,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (NSW Ambulance),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,1
20012320,DEPARTMENT OF CUSTOMER SERVICES OPEN DATA AND SMALL AND FAMILY BUSINESS,Queensland Government Customer and Digital Group,,81919425843,PO BOX 15086,BRISBANE CITY EAST,QLD,4002,,3,1
20012533,WILMAR SUGAR PTY LTD,Burdekin Region,081051792,44081051792,PO Box 642,TOWNSVILLE,QLD,4810,,5,1
20012824,SYNTECH RESOURCES PTY LTD,Yancoal,095102971,67095102971,PO Box 972,CHINCHILLA,QLD,4413,,5,1
20013050,LOCKYER INVESTMENT CO. PTY. LTD.,AGRICULTURAL REQUIREMENTS,009676046,90009676046,PO Box 1,GATTON,QLD,4343,,5,1
20013543,CITIZENS RADIO EMERGENCY SERVICE TEAMS QUEENSLAND INC.,CREST QLD,,94674126862,PO Box 17,NORTH TAMBORINE,QLD,4272,15,6,3
20013683,QUEENSLAND RADIO SERVICES PTY LTD,QUEENSLAND RADIO SERVICES PTY LTD,164520067,92164520067,PO Box 1392,EAGLE FARM,QLD,4009,,5,1
20013965,Brady Baldwin,Brady Baldwin,,,C/- BAI Communications 202 Alma Street,Rockhampton,QLD,4700,,7,1
20013966,Seventh-day Adventist Church (Australian Union Conf.) Ltd,FAITH FM,112101783,24112101783,PO BOX 4368,RINGWOOD,VIC,3143,,5,1
20014348,March IT Pty Ltd,MarchNet,156285728,12156285728,3/23 Duntroon Street,BRENDALE,QLD,4500,,5,1
20015744,NEWCASTLE PORT CORPORATION,PORT AUTHORITY OF NEW SOUTH WALES,,50825884846,PO Box 25,MILLERS POINT,NSW,2000,,3,1
20015745,NEWCASTLE PORT CORPORATION,PORT AUTHORITY OF NEW SOUTH WALES,,50825884846,PO Box 663,NEWCASTLE,NSW,2300,,3,1
20015983,VIVA ENERGY AVIATION PTY LTD,VIVA ENERGY AVIATION PTY LTD,167761453,29167761453,720 Bourke Street,DOCKLANDS,VIC,3008,,5,1
20017269,Reg Kluck,,,,163 Carpendale Road,CARPENDALE,QLD,4344,,7,1
20017363,Optus Mobile Pty Limited,4G TXN,054365696,65054365696,1 Lyonpark Road,MACQUARIE PARK,NSW,2113,,5,1
20017373,Optus Mobile Pty Limited,LTE TXN,054365696,65054365696,1 Lyonpark Road,MACQUARIE PARK,NSW,2113,,5,1
20018366,David Gooding,Uralla Past Co,,,980 Old Warrego Highway m/s 687,DALBY,QLD,4405,,7,1
20019469,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (Other Agencies),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,1
20019830,THE TRUSTEE FOR THE M F & C M KLUCK FAMILY TRUST,Flagstone Fresh,,26922906512,946 Flagstone Creeh Road,FLAGSTONE CREEK,QLD,4344,,6,1
20020218,139 CLUB INC WELFARE CENTRE,139 CLUB INC WELFARE CENTRE,,89025273321,PO Box 26,NEWFARM,QLD,4005,,6,1
20020654,JUAN RODRIGUEZ OLIVA,JUAN RODRIGUEZ OLIVA,,19145017191,26 Robertson Street,GUILDFORD WEST,NSW,2161,,7,1
20021476,CSE CROSSCOM PTY LTD,CSE CROSSCOM PTY LTD,606614500,25606614500,664 Lorimer St,PORT MELBOURNE,VIC,3207,,5,1
20021546,JETTECH NETWORKS PTY LTD,JETTECH NETWORKS PTY LTD,604027241,90604027241,GPO Box 720,HOBART,TAS,7001,,5,1
20025709,AMPOL AUSTRALIA PETROLEUM PTY LTD,CALTEX AUSTRALIA PETROLEUM PTY LTD,000032128,17000032128,Tower Road,COOLANGATTA,QLD,4225,,5,1
20026040,The Trustee for Cook Family Trust,Stanthorpe Cabs & Limousines,,49134193959,PO Box 790,STANTHORPE,QLD,4380,,6,1
20026547,WATER NSW,WATER NSW,,21147934787,Attn: P Dudley PO Box 398,Parramatta,NSW,2124,,3,1
20026647,NSW Electricity Networks Operations Pty Limited,,609169959,,180 Thomas Street,HAYMARKET,NSW,2000,,6,1
20026788,DEPARTMENT OF HOME AFFAIRS,CCTV & Enforcement Communications,,33380054835,BENJAMIN OFFICES 6 Chan Street,BELCONNEN,ACT,2617,,2,1
20026976,CARLO & ROSALBA RUSSO,TWR TECHNOLOGY,,23956509348,305 Princes Highway,CORRIMAL,NSW,2518,,6,1
20027047,AVEO RETIREMENT HOMES LIMITED,Aveo Aspley Court,061603718,51061603718,100 Albany Creek Road,ASPLEY,QLD,4034,,5,1
20027621,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (OEH),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,1
20027731,APPLIED IT SYSTEMS PTY LTD,IP Telco,152601628,70152601628,"Level 1, 15 Kyabra st",NEWSTEAD,QLD,4006,,5,1
20028875,MYRIOTA PTY. LTD.,MYRIOTA PTY. LTD.,609161373,65609161373,25 Chesser St,ADELAIDE,SA,5000,,5,1
20028972,DUBBO REGIONAL COUNCIL,DUBBO REGIONAL COUNCIL,,53539070928,PO Box 81,DUBBO,NSW,2830,,4,1
20029058,DEPARTMENT OF HOME AFFAIRS,CCTV,,33380054835,BENJAMIN OFFICES 6 Chan Street,BELCONNEN,ACT,2617,,2,1
20029073,DEPARTMENT OF CUSTOMER SERVICES OPEN DATA AND SMALL AND FAMILY BUSINESS,Queensland Government Customer and Digital Group,,81919425843,PO BOX 15086,BRISBANE CITY EAST,QLD,4002,,3,3
20029121,CREE8 CONSTRUCTIONS PTY LTD,CREE8 CONSTRUCTIONS PTY LTD,103004333,48103004333,PO BOX 849,TUGUN,QLD,4224,,5,1
20029221,QUEANBEYAN PALERANG REGIONAL COUNCIL,QUEANBEYAN PALERANG REGIONAL COUNCIL,,95933070982,PO Box 90,Queanbeyan,NSW,2620,,4,1
20029474,BRIGHTWAVE PTY LTD,BRIGHTWAVE PTY LTD,607500452,71607500452,GPO Box 104,Brisbane,QLD,4001,,5,1
20029636,Church of Scientology Australia,,,50062296604,126 Greville St,CHATSWOOD,NSW,2067,,6,1
20031385,Department of Transport and Main Roads,Department of Transport and Main Roads,,39407690291,Attention: ITS Enabling Services GPO Box 1412,BRISBANE,QLD,4001,,3,1
20031759,METWIDE COMMUNICATIONS PTY LTD,METWIDE COMMUNICATIONS PTY LTD,602411825,25602411825,1/40 George Street,Granville,NSW,2154,,5,1
20032010,The Trustee for Blue Op Partner Trust & Others,Ausgrid Operator Partnership,,78508211731,24 Campbell Street,SYDNEY,NSW,2000,,6,1
20034472,HEALTHSCOPE OPERATIONS PTY LTD,Northern Beaches Hospital,006405152,85006405152,105 Frenchs Forrest Road (West),FRENCHS FORREST,NSW,2086,,5,1
20034908,Russo & Vella Machinery Pty Ltd,Russo & Vella Machinery Pty Ltd,146189746,67146189746,PO Box 415,INGHAM,QLD,4850,,5,1
20035519,NQM Gold 2 Pty Ltd,NQM Gold 2 Pty Ltd,129020248,18129020248,PO Box 1435,Charters Towers,QLD,4820,,5,1
20035550,RYAN MATHESON,RHINO TOWING & SCRAP METAL,,22725859278,PO BOX 374,NAMBOUR,QLD,4560,,7,1
20035681,VOYAGES TOURISM AUSTRALIA PTY LTD,MOSSMAN GORGE CULTURAL CENTRE,146482591,82146482591,PO Box 1424,MOSSMAN,QLD,4873,,5,1
20036348,NEW SOUTH WALES GOVERNMENT TELECOMMUNICATIONS AUTHORITY,Telco Authority (HGSA),,85430594829,"NSWTA Spectrum Management Office Level 10, McKell Building 2-24 Rawson Place",HAYMARKET,NSW,2000,,3,3
20036497,Department of Environment and Science,Queensland Parks and Wildlife Service,,46640294485,PO Box 15187,CITY EAST,QLD,4002,,3,1
20036543,CBRE (GCS) PTY LIMITED,CBRE (GCS) PTY LIMITED,127372329,13127372329,Unit 21 110 Bourke Road,ALEXANDRIA,NSW,2015,,5,1
20036598,QCOM AUSTRALIA PTY LTD,QCOM AUSTRALIA PTY LTD,165937511,71165937511,Unit 3/ 12 Webster Road,Stafford,QLD,4053,,5,1
20036601,SOJITZ MDS MINING PTY LTD,SOJITZ MDS MINING PTY LTD,610971027,94610971027,PO Box 205,Springsure,QLD,4722,,5,1
20036656,QUEENSLAND RAIL LTD,Queensland Rail Compliance,132181090,71132181090,GPO Box 1429,Brisbane,QLD,4001,7,5,1
20037283,Tarago Operations Pty Ltd,Tarago Operations Pty Ltd,127810413,87127810413,507 Collector Road,Tarago,NSW,2580,,5,1
20037316,JEMENA NORTHERN GAS PIPELINE PTY LTD,JEMENA NORTHERN GAS PIPELINE PTY LTD,607928790,12607928790,PO Box 16182,MELBOURNE,VIC,3000,,5,1
20037376,Central Coast Council,Central Coast Council,,73149644003,49 Mann Street,GOSFORD,NSW,2250,,4,1
20037535,Brisbane VHF Group Inc.,Brisbane VHF Group Inc.,,,10 Geraldine Street,WAVELL HEIGHTS,QLD,4012,,6,1
20037563,AUSTEK PTY LTD,AUSTEK PTY LTD,620121879,62620121879,PO Box 7252,Cairns,QLD,4870,,5,1
20037707,MOBILE JV PTY LIMITED,MOBILE JV PTY LIMITED,628500916,60628500916,"Level 27, Tower Two International Towers Sydney 200 Barangaroo Avenue",Barangaroo,NSW,2000,8,5,1
20038341,Q-MIX CONCRETE PTY LTD,Q-MIX CONCRETE PTY LTD,617647453,81617647453,7 Inglewood Rd,GYMPIE,QLD,4570,15,5,1
20038569,Samuel Fessey,South Toolburra Farms,,,3733 Leyburn Cunningham Road,CUNNINGHAM,QLD,4370,,7,1
20038882,GENUS INFRASTRUCTURE PTY LTD,GENUS INFRASTRUCTURE PTY LTD,135293793,20135293793,11-15 Cooper Avenue,KENWICK,WA,6107,,5,1
20039296,MONTAUBAN PTY. LTD.,MONTAUBAN PTY. LTD.,010745310,38010745310,111-153 Days Road,REDLAND BAY,QLD,4165,,5,1
20039659,KESTREL COAL RESOURCES PTY LTD,KESTREL COAL JOINT VENTURE,624245325,98624245325,"GPO Box 628, Brisbane Qld 4001",BRISBANE,QLD,4001,,5,1
20039794,SUEZ WATER PTY LTD,SUEZ WATER PTY LTD,051950068,33051950068,Level 3 3 Rider Boulevard,RHODES,NSW,2138,,5,1
20039815,SOJITZ GREGORY MINING PTY LTD,SOJITZ GREGORY MINING PTY LTD,630511125,31630511125,PO Box 120,EMERALD,QLD,4722,,5,1
20040155,Marine Rescue Douglas Shire Inc,VMR Port Douglas,,65871449034,PO Box 699,PORT DOUGLAS,QLD,4877,,6,3
20041030,HERVEY BAY BOAT CLUB INC,HERVEY BAY BOAT CLUB INC,,49540353248,Buccaneer Dve,URANGAN,QLD,4655,,6,1
20041324,CLEANCO QUEENSLAND LIMITED,CLEANCO QUEENSLAND LIMITED,628008159,85628008159,CleanCo Queensland Level 17 300 George St,Brisbane,QLD,4000,,5,1
20041489,MINJAR GOLD PTY LTD,MINJAR GOLD PTY LTD,119514528,15119514528,Pajingo Mine Site Via Clermont Highway,CHARTERS TOWERS,QLD,4820,,5,1
20042158,AUSTRALIAN PROFESSIONAL GALVANIZING PTY LTD,AUSTRALIAN PROFESSIONAL GALVANIZING PTY LTD,119874485,70119874485,PO Box 1409,CAIRNS,QLD,4870,,5,1
20043308,BENELEC PTY. LIMITED,BENELEC,064708390,32064708390,17 Byrnes Street,BOTANY,NSW,2019,,5,1
20043499,Mackay Hospital and Health Service,Queensland Health,,87427896923,GPO Box 5580,MACKAY MC,QLD,4741,,3,1
20043501,Central Coast Council,Central Coast Council-Telemetry,,73149644003,PO BOX 21,GOSFORD,NSW,2250,,4,1
20043577,AMSL AERO PTY LTD,AMSL AERO PTY LTD,619882530,57619882530,PO Box 23,GEORGES HALL,NSW,2198,,5,1
20045955,QUEENSLAND FIRE AND EMERGENCY SERVICES,Queensland Fire and Emergency Services - Paging,,93035163778,20 Pickering St Maintenance Control Services,ALDERLEY,QLD,4051,,3,1
20046011,HQPLANTATIONS PTY LTD,HQPLANTATIONS PTY LTD,142448977,25142448977,"Lakes Vista Office Parade 3a, 2 Flinders Parade",NORTH LAKES,QLD,4509,,5,1
20046267,PALM ISLAND ABORIGINAL COUNCIL,PALM ISLAND ABORIGINAL COUNCIL,,68799811816,1 Main Street,PALM ISLAND,QLD,4816,,4,1
20047564,MAD Mountain Bike Club Inc.,MAD Mountain Bike Club Inc.,,90503778519,PO Box 8693,MOUNT PLEASANT,QLD,4740,,6,1
20047597,RENGAYA 1993 PTY LTD,RENGAYA 1993 PTY LTD,627706807,73627706807,Unit 608 97-99 Bathurst Street,Sydney,NSW,2000,,5,1
20047753,KOMET NETWORKS PTY LIMITED,KOMET NETWORKS PTY LIMITED,650136280,37650136280,PO Box 876,Casino,NSW,2470,8,5,1
20047873,Maryborough Canegrowers Limited,Maryborough Canegrowers Limited,111775583,56111775583,PO Box 172,MARYBOROUGH,QLD,4650,,5,1
20048575,DELTA NETWORKS PTY LTD,DELTA NETWORKS PTY LTD,650875942,46650875942,Locked Bag 3501,BRISBANE,QLD,4001,,5,1
20048777,"DEPARTMENT OF CHILDREN, YOUTH JUSTICE AND MULTICULTURAL AFFAIRS","Department of Families, Seniors, Disability Services and Child Safety",,75563721098,PO BOX 29,CROWS NEST,QLD,4355,10,3,1
20049060,THE JERSEY PROJECT PTY LTD,THE JERSEY PROJECT PTY LTD,653488254,61653488254,40 Azalea Street,MULLUMBIMBY,NSW,2482,,5,1
20049396,POSEIDON SEA PILOTS PTY LTD,POSEIDON SEA PILOTS PTY LTD,612334764,23612334764,655 Macarthur Avenue Central,PINKENBA,QLD,4008,,5,1
20052087,BUNDABERG PORT MARINA PTY LTD,Bundaberg Port Marina,637864745,93637864745,15-17 Marina Drive,Port Bundaberg,QLD,4670,,5,1
20052834,82 LEARN PTY LTD,82 LEARN PTY LTD,644960878,29644960878,176 Mcfarlane Drive,KANIMBLA,QLD,4870,,5,1
20053835,TELSTRA LIMITED,Telstra - Radio Transport Engineering,086174781,64086174781,Locked Bag 3501,BRISBANE,QLD,4001,,5,1
20053837,TELSTRA LIMITED,Telstra - Radio & Emergency Managed Services,086174781,64086174781,Building M7 30 Henderson Rd,CLAYTON,VIC,3168,,5,1
20053839,TELSTRA LIMITED,Telstra - Commercial Engineering - Spectrum Strategy,086174781,64086174781,Locked Bag 3501,BRISBANE,QLD,4001,,5,1
20053843,TELSTRA LIMITED,Telstra - Commercial Engineering - Spectrum Strategy,086174781,64086174781,Locked Bag 3501,BRISBANE,QLD,4001,,5,1
20054518,THE BROWN & HURLEY GROUP PTY. LTD.,BROWN AND HURLEY - SERVICES,010732966,66010732966,122-126 Graham Street,Ayr,QLD,4807,,5,1
20054845,VERTEX MINERALS LIMITED,VERTEX MINERALS LIMITED,650116153,68650116153,4 Bowen Street,HILL END,NSW,2850,,5,1
20056117,HARVEY BLACK GROUP PTY LTD,Black Truck & AG,069343460,90069343460,PO Box 235,CHINCHILLA,QLD,4413,,5,1
20056247,G & H PLANT HIRE PTY LTD,G&H Civil Contractors,143016773,41143016773,PO Box 461,Archerfield,QLD,4108,,5,1
20056808,BUSLINES GROUP PTY LIMITED,Northern Rivers Buslines,000016339,99000016339,"Level 1, 1 Burwood Road",BURWOOD,NSW,2134,,5,1
20057469,Shellharbour Marina The Trustee for Shell Harbour Unit Trust,Shellharbour Marina,,,13 Marina Drive,SHELL COVE,NSW,2529,,7,1
20057576,Marquee Hotel Operations Pty Ltd trustee Marquee Hotel Operations Trust,Marquee Hotel Operations Pty Ltd trustee Marquee Hotel Operations Trust,,,SOFITEL HOTEL 249 Turbot Street,BRISBANE CITY,QLD,4000,,7,1
20057649,FUTURA MINING SERVICES PTY LTD,FUTURA MINING SERVICES PTY LTD,624476008,56624476008,C/- CWC PO Box 829,EMERALD,QLD,4720,,5,1
20057723,Upper Yango Landholders Association Inc,Upper Yango Landholders Association Inc,,25135483156,706 Upper Yango Creek Road,Laguna,NSW,2325,,6,1
20057795,KIMBRIKI ENVIRONMENTAL ENTERPRISES PTY LTD,Kimbriki Environmental Enterprises,136789261,65136789261,PO Box 196,Terrey Hills,NSW,2084,,4,1
20058561,SRG GLOBAL LIMITED,SRG GLOBAL LIMITED,104662259,81104662259,Level 2 500 Hay St,SUBIACO,WA,6008,,5,1
20059065,BUNDALEER CARE OPERATIONS LIMITED,BUNDALEER CARE OPERATIONS LIMITED,659413297,36659413297,CAMERON STREET FACILITY 142A Cameron Street,WAUCHOPE,NSW,2446,,5,1
20059684,LIMIT FARMING CO PTY LTD,Limit Farms,671555561,34671555561,155 Flagstone Creek ROAD,Carpendale,QLD,4344,,5,1
20060491,JOHN HOLLAND GROUP PTY LTD,JOHN HOLLAND GROUP PTY LTD,050242147,37050242147,6 Lake St,Cairns,QLD,4870,,5,1
20060660,VEOLIA WATER OPERATIONS PTY LTD,VEOLIA WATER OPERATIONS PTY LTD,061161297,14061161297,PO Box 134,GERRINGONG,NSW,2534,,5,1
20060946,QUEENSLAND POLICE SERVICE,Queensland SES (State Emergency Service),,29409225509,20 Pickering Street Maintenance Control Services,ALDERLEY,QLD,4051,,3,3
20061331,Tamborine Mountain Branch Little Athletics Centre Incorporated,Tamborine Mountain Branch Little Athletics Centre Incorporated,,33172691525,400 Long Road,Tamborine Mountine,QLD,4272,,6,1
20061675,Sydney Superyacht Holdings P/L ATF The Sydney Superyacht Trust,Sydney Superyacht Marina,,84890116525,2 Maritime Court,ROZELLE,NSW,2039,,7,1
20062276,MA MARINA FUND OPCO NO. 1 PTY LTD,MA MARINA FUND OPCO NO. 1 PTY LTD,667243601,59667243601,HORIZON SHORES MARINA 80 Cabbage Tree Point Road,STEIGLITZ,QLD,4207,,5,1
20062681,QUEENSLAND POLICE SERVICE,Marine Rescue Queensland,,29409225509,PO Box 1440,Brisbane,QLD,4000,,3,3
20062810,REGIONAL QUARRIES & CONCRETE PTY LIMITED,REGIONAL QUARRIES & CONCRETE PTY LIMITED,682599882,95682599882,81 East West Link Croome Road,Albion Park,NSW,2529,,5,1
20063469,HAPPITAT LAMINGTON NATIONAL PARK PTY LTD,HAPPITAT LAMINGTON NATIONAL PARK PTY LTD,655910311,26655910311,2A Robert St,KUNDA PARK,QLD,4556,,5,1
20064114,BLACKWATER OPERATIONS PTY LTD,BLACKWATER OPERATIONS PTY LTD,672151941,89672151941,Level 28 259 George Street,Sydney,NSW,2000,,5,1
20064446,SCRAMBLED EGGS MEDIA PTY LTD,RAW FM,682425396,37682425396,Unit 7 6 Portside Crescent,MARYVILLE,NSW,2293,,5,1
20064596,CODEC SECURITY VENTURES PTY LTD,CODEC SECURITY VENTURES PTY LTD,665204295,24665204295,18 Stone St,Caulfield South,VIC,3162,,5,1
20064675,Joshua Evans,Joshua Evans,,,PO BOX 5246,Torquay,QLD,4655,,7,1
20064760,SOUTH EASTERN SYDNEY LOCAL HEALTH DISTRICT,Sydney Hospital,,70442041439,Accounts Payable Locked Bag 6009,Hunter Region MC,NSW,2310,,3,1
20064790,ETHERSTACK PTY. LIMITED,Etherstack Pty Ltd,,67102446846,64 Rose Street,Chippendale,NSW,2008,,5,1
20065019,Matthew Gosden as trustee for M & F Gosden Trust,Matthew Gosden as trustee for M & F Gosden Trust,,,PO Box 764,DALBY,QLD,4405,,7,1
20066114,CHOOKS SAND & GRAVEL PTY LTD,CHOOKS SAND & GRAVEL PTY LTD,682117219,54682117219,263 Connors Road,McKay,QLD,4740,,5,1
20068581,TAMBORINE MOUNTAIN JUNIOR BUSHRATS LEAGUE CLUB INC,TAMBORINE MOUNTAIN JUNIOR BUSHRATS,,40450500469,386-398 Main Western Rd,TAMBORINE MOUNTAIN,QLD,4272,,6,1
20068917,GLENWORTH VALLEY SERVICES PTY LTD,GLENWORTH VALLEY SERVICES PTY LTD,658080810,42658080810,69 Cooks Rd,Glenworth Valley,NSW,2250,,5,1
20069126,WESTERN NSW LOCAL HEALTH DISTRICT,WESTERN NSW LOCAL HEALTH DISTRICT,,50629556404,Myall Street,DUBBO,NSW,2830,,3,1
20070415,KOPPEN CONSTRUCTION PTY LTD,KOPPEN CONSTRUCTION PTY LTD,600199120,74600199120,Suite 4/10 Grafton Street,Cairns,QLD,4870,,5,1
