APTB_ID,APTB_TABLE_PREFIX,APTB_TABLE_ID,LICENCE_NO,APTB_DESCRIPTION,APTB_CATEGORY,APTB_TEXT,APTB_ITEM
638170390,LI,635128,104490/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638170391,LI,635128,104490/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170392,LI,635128,104490/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170399,LI,635134,104566/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170402,LI,635149,104778/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170403,LI,635152,104787/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170404,LI,635152,104787/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170405,LI,635156,104830/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170407,LI,635165,105762/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170408,LI,635165,105762/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170409,LI,635170,105767/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638170410,LI,635170,105767/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170411,LI,635170,105767/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170412,LI,635173,105769/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638170413,LI,635173,105769/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170414,LI,635173,105769/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
638170415,LI,635173,105769/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
638170416,LI,635173,105769/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
638170417,LI,635173,105769/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170424,LI,635193,106992/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170452,LI,635265,113069/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638170453,LI,635265,113069/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170454,LI,635265,113069/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170484,LI,635284,113799/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170485,LI,635284,113799/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170493,LI,635287,113800/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170494,LI,635287,113800/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170527,LI,635302,115163/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638170528,LI,635302,115163/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170878,LI,643724,1465621/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170879,LI,643724,1465621/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170899,LI,643795,1481717/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170900,LI,643795,1481717/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638170907,LI,643828,1482414/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170908,LI,643829,1482422/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638170919,LI,643857,1483038/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638170920,LI,643857,1483038/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638171012,LI,635829,169629/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171014,LI,635832,169633/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638171015,LI,635832,169633/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171098,LI,635912,179312/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638171099,LI,635912,179312/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
638171100,LI,635912,179312/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
638171101,LI,635912,179312/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
638171102,LI,635912,179312/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
638171103,LI,635912,179312/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638171238,LI,638520,417542/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171291,LI,638542,418840/1,Exemption granted for assisting an exempt body.,SPCOND,A transmitter may only be operated under this licence for the sole or principal purpose of assisting a body to which subregulation 5(7) or 5(8) of the Radiocommunications Taxes Collection Regulations apply.,49
638171292,LI,638542,418840/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171314,LI,638546,418842/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638171315,LI,638546,418842/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638171316,LI,638546,418842/1,,SPCOND,"This licence issued fee exempt on condition that the apparatus is used principally in support of the Australian Volunteer Coast Guard, Ku-ring-gai Flotilla, in search and rescue operations.",
638171318,LI,638552,418918/1,No interference / no protection,SPCOND,No interference shall be caused to any Radiocommunication station or service and no protection from interference by such stations or services shall be afforded.,27
638171319,LI,638552,418918/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171321,LI,638555,418923/1,Emergency or stand-by operation,SPCOND,The station shall be operated under the direction and control of the parent station licensee and then only during maintenance of the main installation or when the main installation is out of order or rendered inoperative or when the main installation is not being staffed.,22
638171322,LI,638555,418923/1,Conditions applicable to limited coast marine rescue stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Marine Rescue station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANML
638171324,LI,638557,418924/1,Repeater access,SPCOND,Access to the repeater station must be provided on an unrestricted basis to any licensee in the service.,R0
638171325,LI,638557,418924/1,Repeater access limited to 1 minute,SPCOND,A facility limiting access to no more than 1 minute must be activated in the repeater by each transmission.,R1
638171326,LI,638557,418924/1,Malfunction / interference,SPCOND,"In the event of a malfunction or interference being caused to other services, termination of transmissions must be promptly effected. Where access to the repeater is difficult, termination of transmissions must be achievable by remote switching.",R2
638171327,LI,638557,418924/1,Charges/continuous service/transmission restriction,SPCOND,1. The station must produce a continuous service. 2. No charges may be imposed by the licensee or their agent for the use of the repeater facility. 3. No transmission shall be made in the absence of a received signal. The transmitter must not be able to lock-on due to a malfunction.,R3
638171328,LI,638557,418924/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638171329,LI,638557,418924/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638171529,LI,641080,1187595/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638171961,LI,641170,1190066/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638172297,LI,638911,440529/1,Once off text for the change from Limited Coast Assigned to Limited Coast Assigned System,ADVNOTE,Prior to 4 September 2002 this licence authorised the operation of one Limited Coast Assigned Station.,51
638172298,LI,638911,440529/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638172381,LI,641389,1210749/1,Conditions applicable to limited coast assigned stations.,ADVNOTE,Conditions applicable to the operation of Limited Coast Assigned System authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Maritime Coast Licence) Determination. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).,ANMJ
638172924,LI,844936,433844/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172925,LI,844937,433855/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172929,LI,844938,433870/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172939,LI,844941,433887/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172940,LI,844942,433890/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172941,LI,844943,433891/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172942,LI,844944,433892/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172989,LI,844951,433911/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
638172994,LI,844955,433925/1,Conditions applicable to point to multipoint stations (Refer also ANFB2 PTMP Land Mob Spec),ADVNOTE,"Conditions applicable to the operation of Point to Multipoint station(s) authorised under this licence can be found in the Radiocommunications Licence Conditions (Apparatus Licence) Determination and the Radiocommunications Licence Conditions (Fixed Licence) Determination, the 'fixed licence lcd'. Copies of these determinations are available from the ACMA and from the ACMA home page (www.acma.gov.au).",ANFB
